digits,section,division,group,class,item,desc_en,exclude_en,include_en,desc_bm,exclude_bm,include_bm
5,G,47,477,4773,47737,Retail sale of spectacles and other optical goods,,activities of opticians,Jualan runcit cermin mata dan barang optik lain(1),,
5,G,47,477,4773,47738,"Retail sale of aquarium fishes, pet animals and pet food",,,"Jualan runcit ikan akuarium, haiwan peliharaan dan makanannya",,
5,G,47,477,4773,47739,Other retail sale of new goods in specialized stores n.e.c.,,retail sale of new stamps and coins,Jualan runcit di kedai khusus yang menjual barang baru lain t.t.t.l.(2),,
5,G,47,477,4774,47741,Retail sale of second-hand books,,,Jualan runcit buku terpakai,,
5,G,47,477,4774,47742,Retail sale of second-hand electrical and electronic goods,,,Jualan runcit barang elektrik dan elektronik terpakai,,
5,G,47,477,4774,47743,Retail sale of antiques,,retail sale of antique stamps and coins,Jualan runcit barang antik(4),,
5,G,47,477,4774,47744,Activities of auctioning houses (retail),,,Aktiviti pusat lelongan (runcit),,
5,G,47,477,4774,47749,Retail sale of second-hand goods n.e.c.,,,Jualan runcit barangan terpakai t.t.t.l.,,
5,G,47,478,4781,47810,"Retail sale of food, beverages and tobacco products via stalls or markets","retail sale of prepared food for immediate consumption (mobile food vendors), see 5610",,"Jualan runcit makanan, minuman dan produk tembakau di gerai atau pasar",,
5,G,47,478,4782,47820,"Retail sale of textiles, clothing and footwear via stalls or markets",,,"Jualan runcit tekstil, baju dan kasut di gerai atau pasar",,
5,G,47,478,4789,47891,Retail sale of carpets and rugs via stalls or markets,,,Jualan runcit permaidani dan di gerai dan pasar,,
5,G,47,478,4789,47892,Retail sale of books via stalls or markets,,,Jualan runcit buku di gerai atau pasar,,
5,G,47,478,4789,47893,Retail sale of games and toys via stalls or markets,,,Jualan runcit alat permainan dan barang mainan di gerai atau pasar,,
5,G,47,478,4789,47894,Retail sale of household appliances and consumer electronics via stall or markets,,,Jualan runcit peralatan isi rumah dan barang elektronik di gerai atau pasar,,
5,G,47,478,4789,47895,Retail sale of music and video recordings via stall or markets,,,Jualan runcit rekod muzik dan video di gerai atau pasar,,
5,G,47,479,4791,47911,Retail sale of any kind of product by mail order,,,Jualan runcit sebarang jenis produk melalui pesanan mel,,
5,G,47,479,4791,47912,Retail sale of any kind of product over the Internet,,,Jualan runcit sebarang jenis produk melalui internet,,
5,G,47,479,4791,47913,"Direct sale via television, radio and telephone",,,"Jualan langsung melalui televisyen, radio dan telefon",,
5,G,47,479,4791,47914,Internet retail auctions,,,Jualan runcit lelongan melalui internet,,
5,G,47,479,4799,47991,Retail sale of any kind of product by direct sales or door-to-door sales persons,,direct selling of fuels,Jualan runcit sebarang jenis produk melalui jualan langsung atau penjualan dari pintu ke pintu(2),,
5,G,47,479,4799,47992,Retail sale of any kind of product through vending machines,,,Jualan runcit sebarang jenis produk melalui mesin layan diri (vending machine),,
5,G,47,479,4799,47999,"Other retail sale not in stores, stalls or markets n.e.c.",,activities of non-store auctions (retail),"Jualan runcit lain bukan di kedai, gerai atau pasar t.t.t.l.(3)",,
